group,movie_imdb_link,Cast FB Likes,name,Actor 1 FB Likes,Number of Voted Users,Director FB Likes,Number of Critic for Reviews,Number of Users for Reviews,Budget,Domestic Gross,Imdb Score
Comedy Drama,http://www.imdb.com/title/tt0036628/?ref_=fn_tt_tt_1,1627,"BathingBeauty, director: George Sidney",675,1079,24,8,28,23534983.02,34888793.13,6.5
Action,http://www.imdb.com/title/tt0095863/?ref_=fn_tt_tt_1,1395,"PhantasmII, director: Don Coscarelli",674,9502,152,81,100,7478809.588,18155685.3,6.5
Thriller Drama,http://www.imdb.com/title/tt0120179/?ref_=fn_tt_tt_1,2027,"SpeedCruiseControl, director: Jan de Bont",673,60573,101,79,248,206531657.8,90305180.66,3.7
Drama,http://www.imdb.com/title/tt1078588/?ref_=fn_tt_tt_1,1775,"MySistersKeeper, director: Nick Cassavetes",673,74476,415,148,184,35381013.74,63300145.95,7.4
Thriller Drama,http://www.imdb.com/title/tt0272207/?ref_=fn_tt_tt_1,1442,"Narc, director: Joe Carnahan",673,34098,248,127,214,12029753.34,16786572.85,7.2
Thriller Drama,http://www.imdb.com/title/tt0233469/?ref_=fn_tt_tt_1,1460,"CollateralDamage, director: Andrew Davis",672,61417,99,135,339,136337204.6,64236207.44,5.5
Adventure Action,http://www.imdb.com/title/tt0107362/?ref_=fn_tt_tt_1,2407,"LastActionHero, director: John McTiernan",670,106528,323,80,257,181022125.8,106518517.3,6.2
Drama,http://www.imdb.com/title/tt0181536/?ref_=fn_tt_tt_1,1801,"FindingForrester, director: Gus Van Sant",670,73006,835,137,297,73455329.22,88434447.57,7.3
Comedy Drama,http://www.imdb.com/title/tt0143746/?ref_=fn_tt_tt_1,1562,"Molly, director: John Duigan",670,2295,18,16,40,37021485.93,30667.89377,5.8
Comedy Drama,http://www.imdb.com/title/tt1070781/?ref_=fn_tt_tt_1,2739,"GoodIntentions, director: Jim Issa",670,553,5,4,3,12865823.18,0,5.2
Thriller Drama,http://www.imdb.com/title/tt0330793/?ref_=fn_tt_tt_1,2114,"ThePunisher, director: Jonathan Hensleigh",669,124242,36,192,622,49699269.42,50699836.2,6.5
Horror,http://www.imdb.com/title/tt0310357/?ref_=fn_tt_tt_1,1267,"Willard, director: Glen Morgan",669,15169,17,129,213,31084633.97,10697304.29,6.2
Thriller Drama,http://www.imdb.com/title/tt0075909/?ref_=fn_tt_tt_1,1769,"DamnationAlley, director: Jack Smight",669,3701,22,41,71,59928969.93,0,5.2
Drama,http://www.imdb.com/title/tt0087538/?ref_=fn_tt_tt_1,2004,"TheKarateKid, director: John G. Avildsen",668,126907,80,81,235,49867531.69,220154702.7,7.2
Action,http://www.imdb.com/title/tt1946381/?ref_=fn_tt_tt_1,2204,"RedSky, director: Mario Van Peebles",668,1084,535,7,11,26625600,0,4.1
Drama,http://www.imdb.com/title/tt1010048/?ref_=fn_tt_tt_1,820,"SlumdogMillionaire, director: Danny Boyle",668,641997,0,418,1017,18588541.33,187637951.6,8
Comedy Drama,http://www.imdb.com/title/tt0108320/?ref_=fn_tt_tt_1,2272,"ThereGoesMyBaby, director: Floyd Mutrux",665,859,11,5,31,21668175.12,258303.2201,6.4
Drama,http://www.imdb.com/title/tt1210039/?ref_=fn_tt_tt_1,4579,"BloodDoneSignMyName, director: Jeb Stuart",665,465,11,20,3,12466882.92,136366.5055,6.7
Action,http://www.imdb.com/title/tt0111438/?ref_=fn_tt_tt_1,2010,"Timecop, director: Peter Hyams",664,44394,0,62,115,57781800.31,92561452.16,5.8
Thriller Drama,http://www.imdb.com/title/tt1764183/?ref_=fn_tt_tt_1,2440,"Arbitrage, director: Nicholas Jarecki",664,41574,27,288,145,14046875.48,9270439.151,6.6
Drama,http://www.imdb.com/title/tt0416212/?ref_=fn_tt_tt_1,3376,"TheSecretLifeofBees, director: Gina Prince-Bythewood",664,19440,107,109,56,14605282.47,50149444.09,7.3
Adventure Action,http://www.imdb.com/title/tt0119707/?ref_=fn_tt_tt_1,2266,"MortalKombatAnnihilation, director: John R. Leonetti",663,36363,40,59,256,56326815.75,67455879.27,3.7
Thriller Drama,http://www.imdb.com/title/tt0865554/?ref_=fn_tt_tt_1,2215,"TheInformers, director: Gregor Jordan",663,14324,34,97,93,23158481.72,405273.4301,5.1
Adventure Action,http://www.imdb.com/title/tt0418279/?ref_=fn_tt_tt_1,2333,"Transformers, director: Michael Bay",662,513158,0,396,1782,206906398,437444237.5,7.1
Horror,http://www.imdb.com/title/tt4517738/?ref_=fn_tt_tt_1,1498,"Restoration, director: Zack Ward",662,436,662,15,6,35993646.37,8198552.785,4
Thriller Drama,http://www.imdb.com/title/tt0399095/?ref_=fn_tt_tt_1,1952,"Trade, director: Marco Kreuzpaintner",662,14831,7,69,75,16442892.56,293508.3726,7.5
Comedy Family,http://www.imdb.com/title/tt0085334/?ref_=fn_tt_tt_1,2076,"AChristmasStory, director: Bob Clark",662,104908,84,109,458,9484033.271,60129380.84,8.1
Action,http://www.imdb.com/title/tt0120201/?ref_=fn_tt_tt_1,2031,"StarshipTroopers, director: Paul Verhoeven",660,221521,719,192,1049,187756052.5,102832022.3,7.2
Family,http://www.imdb.com/title/tt0400497/?ref_=fn_tt_tt_1,2177,"HerbieFullyLoaded, director: Angela Robinson",660,36431,23,117,168,72966980.01,96332002.27,4.7
Thriller Drama,http://www.imdb.com/title/tt1470827/?ref_=fn_tt_tt_1,1118,"Monsters, director: Gareth Edwards",660,75669,380,344,451,623344.1462,295840.3785,6.4
Horror,http://www.imdb.com/title/tt0099253/?ref_=fn_tt_tt_1,2646,"ChildsPlay, director: John Lafia",659,31371,5,59,166,30429525.42,62976412.13,5.7
Drama,http://www.imdb.com/title/tt0119338/?ref_=fn_tt_tt_1,2322,"HurricaneStreets, director: Morgan J. Freeman",659,1038,204,17,21,909670.797,607734.6854,6.5
Comedy,http://www.imdb.com/title/tt0257568/?ref_=fn_tt_tt_1,1233,"KangarooJack, director: David McNally",658,23476,18,73,181,93253901.9,103703337.3,4.4
Comedy Drama,http://www.imdb.com/title/tt0280720/?ref_=fn_tt_tt_1,1559,"TheGuru, director: Daisy von Scherler Mayer",658,13622,18,70,128,17096548.68,4742304.397,5.4
Comedy Drama,http://www.imdb.com/title/tt0310281/?ref_=fn_tt_tt_1,1660,"AMightyWind, director: Christopher Guest",658,22408,378,97,272,9325390.19,27328783.33,7.3
Drama,http://www.imdb.com/title/tt0318374/?ref_=fn_tt_tt_1,3086,"TheCooler, director: Wayne Kramer",658,28714,47,157,215,6216926.793,12887024.03,7
Drama,http://www.imdb.com/title/tt1604100/?ref_=fn_tt_tt_1,2677,"AFineStep, director: Jonathan Meyers",657,207,0,1,1,1099104.768,0,5.3
Drama,http://www.imdb.com/title/tt0206275/?ref_=fn_tt_tt_1,1307,"SavetheLastDance, director: Thomas Carter",656,47876,49,101,320,21518822.78,150695117.5,6.1
Comedy Drama,http://www.imdb.com/title/tt0303714/?ref_=fn_tt_tt_1,2754,"Barbershop, director: Tim Story",656,22147,167,91,156,19247605.35,121551261.5,6.3
Comedy,http://www.imdb.com/title/tt1408253/?ref_=fn_tt_tt_1,2394,"RideAlong, director: Tim Story",655,75903,167,146,109,41280000,93770290.92,6.2
Comedy Drama,http://www.imdb.com/title/tt0499554/?ref_=fn_tt_tt_1,2737,"RenoMiami, director: Robert Ben Garant",655,23928,134,89,73,13702410.46,27873663.97,5.9
Drama,http://www.imdb.com/title/tt0160216/?ref_=fn_tt_tt_1,1906,"ADogofFlanders, director: Kevin Brodie",655,781,0,25,20,12340495.31,3817861.891,6.3
Drama,http://www.imdb.com/title/tt0472200/?ref_=fn_tt_tt_1,1064,"ValleyoftheHeartsDelight, director: Tim Boxell",655,91,10,3,3,3116720.731,147939.5129,6.6
Drama,http://www.imdb.com/title/tt0066206/?ref_=fn_tt_tt_1,1306,"Patton, director: Franklin J. Schaffner",654,76398,76,112,258,52738408.37,274679210.2,8
Drama,http://www.imdb.com/title/tt0054997/?ref_=fn_tt_tt_1,2290,"TheHustler, director: Robert Rossen",654,62860,31,100,167,11670596.23,44348265.68,8
Thriller Drama,http://www.imdb.com/title/tt1922679/?ref_=fn_tt_tt_1,844,"OpenRoad, director: Marcio Garcia",652,1370,74,9,9,3402828.362,0,5.5
Comedy Drama,http://www.imdb.com/title/tt0295289/?ref_=fn_tt_tt_1,2698,"AGuyThing, director: Chris Koch",651,14147,13,81,92,31084633.97,24158763.03,5.6
Horror,http://www.imdb.com/title/tt0100814/?ref_=fn_tt_tt_1,3119,"Tremors, director: Ron Underwood",651,90070,31,132,248,23407327.25,39013188.95,7.1
Drama,http://www.imdb.com/title/tt2349460/?ref_=fn_tt_tt_1,3894,"GraceUnplugged, director: Brad J. Silverman",651,2561,11,15,21,1928269.405,2843810.584,6.1
Adventure Action,http://www.imdb.com/title/tt0118928/?ref_=fn_tt_tt_1,1569,"DantesPeak, director: Roger Donaldson",650,62271,79,93,277,215919460.4,126104206.6,5.8
Thriller Drama,http://www.imdb.com/title/tt0822854/?ref_=fn_tt_tt_1,1640,"Shooter, director: Antoine Fuqua",650,256213,845,198,338,82214462.78,64406237.38,7.2
Horror,http://www.imdb.com/title/tt0265349/?ref_=fn_tt_tt_1,1651,"TheMothmanProphecies, director: Mark Pellington",650,63677,89,166,460,67366618.73,56505669.81,6.5
Comedy Drama,http://www.imdb.com/title/tt0491109/?ref_=fn_tt_tt_1,1585,"PurpleViolets, director: Edward Burns",650,2727,0,6,19,5311011.808,0,6.6
Adventure Action,http://www.imdb.com/title/tt0055928/?ref_=fn_tt_tt_1,1421,"DrNo, director: Terence Young",650,116642,92,184,389,5479029.689,88031761.78,7.3
Drama,http://www.imdb.com/title/tt0418647/?ref_=fn_tt_tt_1,1400,"DreamerInspiredbyaTrueStory, director: John Gatins",649,10018,61,75,108,46698867.2,48190729.65,6.9
Thriller Drama,http://www.imdb.com/title/tt0113957/?ref_=fn_tt_tt_1,1725,"TheNet, director: Irwin Winkler",649,48909,34,53,166,43992234.45,101225597.6,5.8
Action,http://www.imdb.com/title/tt0181852/?ref_=fn_tt_tt_1,1769,"TerminatorRiseoftheMachines, director: Jonathan Mostow",648,305340,84,280,1676,264219388.7,233691629.7,6.4
Drama,http://www.imdb.com/title/tt0120863/?ref_=fn_tt_tt_1,1937,"TheThinRedLine, director: Terrence Malick",648,138941,0,156,1448,94605762.89,66224927.32,7.6
Horror,http://www.imdb.com/title/tt4263482/?ref_=fn_tt_tt_1,1122,"TheWitch, director: Robert Eggers",648,66483,22,425,452,3612000,25943143.56,6.8
Horror,http://www.imdb.com/title/tt0822858/?ref_=fn_tt_tt_1,2439,"Sublime, director: Tony Krantz",647,6267,15,53,103,2466433.883,0,5.3
Thriller Drama,http://www.imdb.com/title/tt3531824/?ref_=fn_tt_tt_1,1780,"Nerve, director: Henry Joost",646,4303,24,86,35,20640000,39818302.03,7.1
Comedy,http://www.imdb.com/title/tt0295178/?ref_=fn_tt_tt_1,2725,"AustinPowersinGoldmember, director: Jay Roach",645,162909,116,194,795,101049928.1,341833924.7,6.2
Drama,http://www.imdb.com/title/tt2912776/?ref_=fn_tt_tt_1,1440,"TheLookingGlass, director: John D. Hancock",644,82,44,4,1,319507.2,1822.256064,6.6
Comedy Drama,http://www.imdb.com/title/tt0065528/?ref_=fn_tt_tt_1,2032,"Catch, director: Mike Nichols",643,17277,0,45,124,79107612.55,109483485.5,7.2
Comedy Drama,http://www.imdb.com/title/tt0384504/?ref_=fn_tt_tt_1,1396,"SavingFace, director: Alice Wu",643,7776,13,54,84,3648349,1732624.29,7.6
Documentary,http://www.imdb.com/title/tt0120370/?ref_=fn_tt_tt_1,2864,"Trekkies, director: Roger Nygard",643,4407,3,43,75,661097.963,1088029.739,7
Mixed,http://www.imdb.com/title/tt0103060/?ref_=fn_tt_tt_1,2501,"TeenageMutantNinjaTurtlesIITheSecretoftheOoze, director: Michael Pressman",642,42765,34,68,93,56703796.63,178405597.1,6
Comedy Drama,http://www.imdb.com/title/tt1033643/?ref_=fn_tt_tt_1,1026,"WhatHappensinVegas, director: Tom Vaughan",642,140740,12,148,151,46471353.32,106588881.4,6.1
Comedy,http://www.imdb.com/title/tt0094118/?ref_=fn_tt_tt_1,1389,"TeenWolfToo, director: Christopher Leitch",641,8465,4,29,65,7718131.495,20293540.41,3.2
Adventure Action,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,1873,"JohnCarter, director: Andrew Stanton",640,212204,475,462,738,321907563,85520513.87,6.6
Drama,http://www.imdb.com/title/tt0064115/?ref_=fn_tt_tt_1,2169,"ButchCassidyandtheSundanceKid, director: George Roy Hill",640,152089,131,130,309,27213018.72,464022335.1,8.1
Action,http://www.imdb.com/title/tt3511596/?ref_=fn_tt_tt_1,1517,"CloseRange, director: Isaac Florentine",640,2425,81,28,31,3195072,0,4.9
Comedy Family,http://www.imdb.com/title/tt0465407/?ref_=fn_tt_tt_1,1491,"EyeoftheDolphin, director: Michael D. Sellers",640,806,0,18,18,3425602.616,98945.10596,5.7
Horror,http://www.imdb.com/title/tt2403021/?ref_=fn_tt_tt_1,2082,"TheGreenInferno, director: Eli Roth",640,21468,0,285,164,1065024,7659962.53,5.4
Drama,http://www.imdb.com/title/tt0349825/?ref_=fn_tt_tt_1,1845,"Miracle, director: Gavin O'Connor",639,36636,149,129,289,42169077.09,96955884.51,7.5
Adventure Action,http://www.imdb.com/title/tt0401462/?ref_=fn_tt_tt_1,1188,"TheHelixLoaded, director: A. Raven Cruz",639,534,0,3,9,1459339.6,5399.55652,1.9
Comedy Drama,http://www.imdb.com/title/tt0323033/?ref_=fn_tt_tt_1,961,"LawsofAttraction, director: Peter Howitt",638,18771,29,90,102,48193230.95,26880259.51,5.9
Comedy Drama,http://www.imdb.com/title/tt0065611/?ref_=fn_tt_tt_1,788,"DarlingLili, director: Blake Edwards",638,1547,688,22,50,96687082,21974336.82,6.2
Drama,http://www.imdb.com/title/tt0315983/?ref_=fn_tt_tt_1,2282,"HouseofSandandFog, director: Vadim Perelman",638,56665,26,158,469,25644823.02,20213537.04,7.6
Thriller Drama,http://www.imdb.com/title/tt0164085/?ref_=fn_tt_tt_1,823,"Limbo, director: John Sayles",638,5158,407,46,140,14632301.58,3809175.945,7.1
Thriller Drama,http://www.imdb.com/title/tt2226519/?ref_=fn_tt_tt_1,2341,"Plush, director: Catherine Hardwicke",638,2895,308,18,24,2268552.241,3493.570451,5.4
Drama,http://www.imdb.com/title/tt2350496/?ref_=fn_tt_tt_1,822,"TheLunchbox, director: Ritesh Batra",638,30479,25,195,162,1868478.106,4650861.826,7.8
Drama,http://www.imdb.com/title/tt0290145/?ref_=fn_tt_tt_1,1641,"BlueCar, director: Karen Moncrieff",638,3142,22,44,68,1554231.698,721359.3412,6.7
Comedy Drama,http://www.imdb.com/title/tt3850214/?ref_=fn_tt_tt_1,1342,"Dope, director: Rick Famuyiwa",637,56605,44,180,89,7455168,18644810.71,7.3
Comedy Drama,http://www.imdb.com/title/tt2395247/?ref_=fn_tt_tt_1,1932,"HowtoFallinLove, director: Mark Griffiths",637,1929,4,3,4,4682291.826,0,6.3
Comedy Drama,http://www.imdb.com/title/tt3000844/?ref_=fn_tt_tt_1,2283,"SignedSealedDelivered, director: Scott Smith",637,629,2,1,6,5325.12,0,7.7
Comedy,http://www.imdb.com/title/tt0093278/?ref_=fn_tt_tt_1,3374,"Ishtar, director: Elaine May",636,8692,124,49,126,102908419.9,36983179.08,4.2
Thriller Drama,http://www.imdb.com/title/tt0105217/?ref_=fn_tt_tt_1,1852,"RaisingCain, director: Brian De Palma",636,9903,0,33,80,24176037.32,46531608.04,6
Thriller Drama,http://www.imdb.com/title/tt0110490/?ref_=fn_tt_tt_1,2152,"MenofWar, director: Perry Lang",636,2989,17,19,38,11997882.12,0,5.8
Comedy Drama,http://www.imdb.com/title/tt0330602/?ref_=fn_tt_tt_1,1033,"MamboItaliano, director: íëí_mile Gaudreault",636,5548,9,67,67,8548274.341,4712121.217,6.7
Horror,http://www.imdb.com/title/tt3892618/?ref_=fn_tt_tt_1,2438,"AlleluiaTheDevilsCarnival, director: Darren Lynn Bousman",636,259,163,10,20,532512,0,7.4
Comedy,http://www.imdb.com/title/tt0120724/?ref_=fn_tt_tt_1,1352,"KnockOff, director: Hark Tsui",635,11512,85,67,141,63676955.79,18775450.61,4.8
Drama,http://www.imdb.com/title/tt0082979/?ref_=fn_tt_tt_1,2291,"Reds, director: Warren Beatty",635,16255,631,57,127,104115145.3,155395739.2,7.5
Horror,http://www.imdb.com/title/tt1242432/?ref_=fn_tt_tt_1,2423,"ISpitonYourGrave, director: Steven R. Monroe",635,56402,68,225,209,2181704.512,116005.5923,6.3
Horror,http://www.imdb.com/title/tt0083001/?ref_=fn_tt_tt_1,1262,"Roar, director: Noel Marshall",634,1275,4,50,27,52834551.34,6557855.592,6.4
Drama,http://www.imdb.com/title/tt0438315/?ref_=fn_tt_tt_1,2673,"PeacefulWarrior, director: Victor Salva",634,20426,108,44,175,14140887.6,4091900.565,7.3
Comedy,http://www.imdb.com/title/tt2166214/?ref_=fn_tt_tt_1,1065,"Khiladi, director: Ashish R. Mohan",634,4633,2,23,31,6555208.556,451164.57,4.3
Horror,http://www.imdb.com/title/tt0092991/?ref_=fn_tt_tt_1,1347,"EvilDeadII, director: Sam Raimi",634,113451,0,252,537,9004486.744,15238277.48,7.8
Drama,http://www.imdb.com/title/tt4824308/?ref_=fn_tt_tt_1,1810,"GodsNotDead, director: Harold Cronk",634,4501,18,29,102,5160000,21437807.21,3.4
Horror,http://www.imdb.com/title/tt0083907/?ref_=fn_tt_tt_1,813,"TheEvilDead, director: Sam Raimi",634,141219,0,304,740,1094311.531,7003593.8,7.6
Action,http://www.imdb.com/title/tt0101764/?ref_=fn_tt_tt_1,874,"DoubleImpact, director: Sheldon Lettich",633,28736,23,40,72,36290429.84,65981547.08,5.5
Comedy Family,http://www.imdb.com/title/tt0104868/?ref_=fn_tt_tt_1,3362,"TheMightyDucks, director: Stephen Herek",633,44502,65,22,46,21978215.75,111544581.2,6.4
Horror,http://www.imdb.com/title/tt1090671/?ref_=fn_tt_tt_1,2620,"NoMansLandTheRiseofReeker, director: Dave Payne",633,2701,0,21,31,2655505.904,0,4.9
Drama,http://www.imdb.com/title/tt0092675/?ref_=fn_tt_tt_1,1168,"Bloodsport, director: Newt Arnold",633,57578,15,61,210,3739404.794,29431905.33,6.8
Comedy,http://www.imdb.com/title/tt0377818/?ref_=fn_tt_tt_1,2297,"TheDukesofHazzard, director: Jay Chandrasekhar",631,66382,422,144,612,77344998.81,117141521,5.1
Comedy Drama,http://www.imdb.com/title/tt0118798/?ref_=fn_tt_tt_1,1023,"Bulworth, director: Warren Beatty",631,21998,631,110,227,54580247.82,48264738.24,6.8
Drama,http://www.imdb.com/title/tt0210217/?ref_=fn_tt_tt_1,1585,"Pandaemonium, director: Julien Temple",631,695,67,22,32,24829410.9,0,6.6
Thriller Drama,http://www.imdb.com/title/tt0345061/?ref_=fn_tt_tt_1,1176,"Code, director: Michael Winterbottom",631,18109,187,133,150,11295288.51,296912.4718,6.3
Drama,http://www.imdb.com/title/tt0300214/?ref_=fn_tt_tt_1,841,"MorvernCallar, director: Lynne Ramsay",631,6906,159,75,111,9623802.676,428570.3887,6.7
Drama,http://www.imdb.com/title/tt2667960/?ref_=fn_tt_tt_1,631,"MissJulie, director: Liv Ullmann",631,2894,440,88,14,5857632,0,5.6
Drama,http://www.imdb.com/title/tt0144178/?ref_=fn_tt_tt_1,2020,"DreamingofJosephLees, director: Eric Styles",631,704,4,16,18,5729515.679,13539.28628,6.4
Mixed,http://www.imdb.com/title/tt0081633/?ref_=fn_tt_tt_1,2730,"TimeBandits, director: Terry Gilliam",629,45890,0,139,177,37294977.42,116236013,7
Horror,http://www.imdb.com/title/tt0468492/?ref_=fn_tt_tt_1,1173,"TheHost, director: Joon-ho Bong",629,68883,584,363,279,56713806.03,30198628.29,7
Drama,http://www.imdb.com/title/tt0202470/?ref_=fn_tt_tt_1,1265,"RockStar, director: Stephen Herek",628,34592,65,107,191,62901174.29,28126594.45,6.2
Comedy Drama,http://www.imdb.com/title/tt2170299/?ref_=fn_tt_tt_1,2061,"BadWords, director: Jason Bateman",628,38459,0,126,119,10991047.68,8550610.841,6.7
Comedy Drama,http://www.imdb.com/title/tt0080339/?ref_=fn_tt_tt_1,2726,"Airplane, director: Jim Abrahams",628,160281,104,134,427,11225788.2,267666215.3,7.8
Drama,http://www.imdb.com/title/tt3262990/?ref_=fn_tt_tt_1,4249,"BrotherlyLove, director: Jamal Hill",628,744,47,10,19,2023545.6,509715.1613,7.2
Documentary,http://www.imdb.com/title/tt1510934/?ref_=fn_tt_tt_1,1683,"Starsuckers, director: Chris Atkins",628,474,2,21,8,823412.6833,0,7.4
Comedy Drama,http://www.imdb.com/title/tt0350028/?ref_=fn_tt_tt_1,2052,"RaisingHelen, director: Garry Marshall",627,30890,0,93,106,75301923.37,56454647.14,6
Comedy Drama,http://www.imdb.com/title/tt0131436/?ref_=fn_tt_tt_1,987,"IGottheHookUp, director: Michael Martin",625,1721,0,19,38,6367695.579,18771564.49,3.9
Drama,http://www.imdb.com/title/tt0482463/?ref_=fn_tt_tt_1,2747,"Bella, director: Alejandro Monteverde",625,9607,38,60,174,4521795.453,11089871.89,7.4
Comedy Drama,http://www.imdb.com/title/tt0333766/?ref_=fn_tt_tt_1,1655,"GardenState, director: Zach Braff",625,187595,0,205,978,3765096.168,40335198.14,7.6
Comedy Drama,http://www.imdb.com/title/tt0200530/?ref_=fn_tt_tt_1,1378,"ChuckBuck, director: Miguel Arteta",625,4662,44,59,136,427065.8675,1803364.206,6.6
Action,http://www.imdb.com/title/tt1032751/?ref_=fn_tt_tt_1,2056,"TheWarriorsWay, director: Sngmoo Lee",624,22309,19,95,102,52360908.28,7064159.738,6.3
Thriller Drama,http://www.imdb.com/title/tt0120906/?ref_=fn_tt_tt_1,1209,"ZeroEffect, director: Jake Kasdan",624,12366,52,81,151,9096707.97,3785491.319,7
Thriller Drama,http://www.imdb.com/title/tt0120176/?ref_=fn_tt_tt_1,1722,"TheSpanishPrisoner, director: David Mamet",623,18697,342,97,263,18193415.94,18488211.14,7.3
Action,http://www.imdb.com/title/tt1418377/?ref_=fn_tt_tt_1,3165,"IFrankenstein, director: Stuart Beattie",623,65709,72,308,194,71441809.92,20965742.19,5.1
Action,http://www.imdb.com/title/tt0098206/?ref_=fn_tt_tt_1,2484,"RoadHouse, director: Rowdy Herrington",623,42987,9,83,201,24156361.72,72589934.61,6.5
Adventure Action,http://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1,1982,"TheLovers, director: Roland Joffíë©",622,2138,596,10,15,37275840,0,4.5
Mixed,http://www.imdb.com/title/tt0844471/?ref_=fn_tt_tt_1,1227,"CloudywithaChanceofMeatballs, director: Phil Lord",622,152601,97,191,156,128658231.8,160655887.8,7
Mixed,http://www.imdb.com/title/tt1985966/?ref_=fn_tt_tt_1,848,"CloudywithaChanceofMeatballs, director: Cody Cameron",622,64387,18,169,85,128658231.8,160655887.8,6.5
Comedy,http://www.imdb.com/title/tt1298649/?ref_=fn_tt_tt_1,2488,"TheWatch, director: Akiva Schaffer",622,104066,82,265,207,64381512.6,40212692.77,5.7
Horror,http://www.imdb.com/title/tt4052882/?ref_=fn_tt_tt_1,971,"TheShallows, director: Jaume Collet-Serra",619,12983,174,186,139,13416000,56885514.94,6.8
Comedy Drama,http://www.imdb.com/title/tt0391304/?ref_=fn_tt_tt_1,1095,"ALotLikeLove, director: Nigel Cole",618,58297,13,112,161,36483490,31865824.29,6.6
Drama,http://www.imdb.com/title/tt0964179/?ref_=fn_tt_tt_1,2476,"BGirl, director: Emily Dell",618,551,0,8,10,872681.8046,0,4
Drama,http://www.imdb.com/title/tt0056193/?ref_=fn_tt_tt_1,1403,"Lolita, director: Stanley Kubrick",617,67822,0,103,207,100063787.7,2088211.172,7.7
Comedy Drama,http://www.imdb.com/title/tt1605783/?ref_=fn_tt_tt_1,1289,"MidnightinParis, director: Woody Allen",617,301149,11000,487,509,36240938.73,68636305.55,7.7
Drama,http://www.imdb.com/title/tt0058085/?ref_=fn_tt_tt_1,1131,"TheFalloftheRomanEmpire, director: Anthony Mann",617,6156,75,30,91,100873608.6,25218402.15,6.7
Adventure Fantasy,http://www.imdb.com/title/tt0046672/?ref_=fn_tt_tt_1,799,"LeaguesUndertheSea, director: Richard Fleischer",617,22123,130,69,108,36373989.21,205149299.2,7.2
Thriller Drama,http://www.imdb.com/title/tt1529572/?ref_=fn_tt_tt_1,916,"Trust, director: David Schwimmer",617,34224,0,109,137,4832125.164,144983.0834,7
Drama,http://www.imdb.com/title/tt0057163/?ref_=fn_tt_tt_1,1141,"Hud, director: Martin Ritt",617,15277,58,65,120,13697574.22,54790296.89,7.9
Thriller Drama,http://www.imdb.com/title/tt0327056/?ref_=fn_tt_tt_1,1942,"MysticRiver, director: Clint Eastwood",616,338415,16000,229,935,46626950.95,140090971,8
Drama,http://www.imdb.com/title/tt0092548/?ref_=fn_tt_tt_1,872,"AmericanNinjaTheConfrontation, director: Sam Firstenberg",615,6046,44,40,46,900448.6744,10290841.99,4.7
Drama,http://www.imdb.com/title/tt1186830/?ref_=fn_tt_tt_1,1829,"Agora, director: Alejandro Ameníëíbar",614,52496,448,180,172,87268180.46,772227.4021,7.2
Action,http://www.imdb.com/title/tt1093357/?ref_=fn_tt_tt_1,843,"TheDarkestHour, director: Chris Gorak",614,49312,21,195,211,42039488.93,25904411.74,4.9
Adventure Action,http://www.imdb.com/title/tt0311113/?ref_=fn_tt_tt_1,1205,"MasterandCommanderTheFarSideoftheWorld, director: Peter Weir",613,168207,608,244,684,209821279.3,145983366.4,7.4
Horror,http://www.imdb.com/title/tt0204313/?ref_=fn_tt_tt_1,1970,"ExorcistTheBeginning, director: Renny Harlin",613,28635,212,167,308,117471000.5,62974792.18,5.1
Comedy Drama,http://www.imdb.com/title/tt2910274/?ref_=fn_tt_tt_1,1587,"ObviousChild, director: Gillian Robespierre",612,16594,9,155,73,1099104.768,3432082.134,6.8
Comedy,http://www.imdb.com/title/tt0144528/?ref_=fn_tt_tt_1,2818,"NuttyProfessorIITheKlumps, director: Peter Segal",611,39391,88,94,171,143494131.5,210642458,4.3
Horror,http://www.imdb.com/title/tt0117571/?ref_=fn_tt_tt_1,1212,"Scream, director: Wes Craven",611,222018,0,242,869,68330538.81,152271319,7.2
Comedy Drama,http://www.imdb.com/title/tt0263734/?ref_=fn_tt_tt_1,1834,"MenwithBrooms, director: Paul Gross",611,3709,329,9,83,12029753.34,6800446.833,6
Comedy Drama,http://www.imdb.com/title/tt1049405/?ref_=fn_tt_tt_1,1739,"TheOtherEndoftheLine, director: James Dodson",611,4820,8,22,26,3319382.38,153360.777,6.2
Adventure Action,http://www.imdb.com/title/tt0119567/?ref_=fn_tt_tt_1,1635,"TheLostWorldJurassicPark, director: Steven Spielberg",610,278362,14000,177,552,140817039.4,430124105.3,6.5
Comedy,http://www.imdb.com/title/tt0100666/?ref_=fn_tt_tt_1,1441,"SpacedInvaders, director: Patrick Read Johnson",610,2580,32,16,54,7022198.174,35110990.87,5.3
Comedy Drama,http://www.imdb.com/title/tt0027125/?ref_=fn_tt_tt_1,824,"TopHat, director: Mark Sandrich",610,13269,10,66,98,8060323.463,23585379.99,7.8
Comedy Drama,http://www.imdb.com/title/tt0024034/?ref_=fn_tt_tt_1,995,"ndStreet, director: Lloyd Bacon",610,7921,24,65,97,6188125.212,20269986.46,7.7
Comedy,http://www.imdb.com/title/tt1116184/?ref_=fn_tt_tt_1,1787,"JackassD, director: Jeff Tremaine",608,47794,79,156,81,24933765.85,146148884.5,7.1
